dt,overlap,overlap_err,agent,agent_err,mixing,mixing_err,path,path_err,paint,paint_err,random
25,42.80407734073291,0.4105214828570024,44.528452867435846,0.4090321739598583,41.28940281720158,0.3878371952041351,34.67787584965759,0.3738602323916635,33.87884604819435,0.38205389604523216,44.09126221431577
35,43.57008637608483,0.39100211366906157,45.029694980313394,0.39589809146765564,38.94486346948963,0.40748066981832204,30.634292672486172,0.3810872680112027,27.07907518888943,0.3810201987030002,44.050835213295514
45,43.651698569272874,0.3920275702401314,45.73751517218623,0.4263689735935487,37.200555719219025,0.41396467932478825,26.461235562117142,0.3710507471192808,18.61208080939041,0.31193279279167724,44.01257455026235
55,42.74560023933553,0.3788354950394615,45.45790212308711,0.38381574651177475,34.36714854883121,0.3964989534731229,22.52717683992452,0.3263185774610559,11.204818123689641,0.21397962504359352,43.97637187622768
65,42.221381947674566,0.39302417593658584,45.85182747341003,0.4163270382178936,29.762620500633783,0.3764357426502617,19.68495901432164,0.28001592789657526,7.9118688363389005,0.11960629945357154,43.92900555172309
75,40.17232555516357,0.37667274271769835,46.11386488299094,0.43106795552465554,25.092088247938943,0.33559634139084116,17.786409461421524,0.23182170964730578,7.2782132482546436,0.07420665045638802,43.886386304292756
85,37.97273140957806,0.33360141727518317,46.196273399639644,0.45022815344360123,20.889214858589046,0.2626974962480251,17.207506519282212,0.214597093316731,7.562111342912976,0.06048514756341944,43.8783747521722
95,36.25086615715366,0.317209239464198,46.29168296000988,0.4206125622255545,17.799468927159005,0.1970554560719918,17.323618408723444,0.1969737380064057,7.84957961611919,0.06658090563016811,43.86957999273101
105,35.01420886497337,0.3035499008220301,46.49548655706326,0.41711045414453274,16.47697476008534,0.1525113231948511,18.04779121283723,0.20231344178679284,8.394180050581229,0.06653826476132724,43.8116358772452
115,34.23717541203077,0.2927570757218386,46.314168936477536,0.4147488331715122,16.76464032535732,0.14227825425767943,18.683213387994073,0.20183022332763084,8.914637691819305,0.07036422292055207,43.791561300150725
125,33.71189438607345,0.28482250620425803,46.653685022319415,0.40356505454274455,17.5375269088824,0.154186807196639,19.763258210729372,0.2051464177840745,9.451602604630045,0.07931420039802857,43.768691245237505
135,33.410848579963556,0.2788743786924502,46.77165408176823,0.4166864403786073,18.433184324815205,0.16051438530333542,20.713481970333614,0.1943541160270166,10.063655430515512,0.08359623158162341,43.76248851080516
145,33.23481557245439,0.27475978142652385,47.145322909232306,0.43198807431781355,19.78551366217378,0.16168983058210826,21.686022079854126,0.2003078743130428,10.802504494752823,0.09026437484398277,43.758946987764695
155,33.13062761794678,0.27256822283169335,47.1107963629219,0.4259306445613483,20.952507647833674,0.1643418936247675,22.76303569533663,0.19387603958862612,11.372859638570715,0.09621926132948096,43.76998547794683
165,33.0547409728808,0.2705328475359362,47.244212742356986,0.41978952444064993,22.12980683076886,0.17736414052749777,23.838096072516613,0.20946286661044738,12.068197642204222,0.10136119242467516,43.75548946533901
175,32.99751296698727,0.2703082769322521,47.63358010958621,0.44890145595534786,23.431679822482806,0.18872595693940744,24.758994422989346,0.2121647384511913,12.662689852288947,0.11188354285265407,43.7234009121395
185,32.98088249534327,0.2695355688997581,47.92326057361884,0.4564680468932197,24.713520972638094,0.20528035790369598,25.940694465548027,0.21665422574595794,13.100199525104236,0.10708104722238874,43.71949837649699
195,33.000130386570774,0.2693329196472365,48.12534955547451,0.45230964569584453,25.836681521269284,0.21686166250817487,27.445398001704515,0.22750532481756575,13.572171839631162,0.11129761242037045,43.730307775103135
205,33.00258139085172,0.2690700384833974,48.27934282330138,0.4630977184558165,26.951444940319696,0.2325378808732316,28.410150697669742,0.23577274741578452,14.00962919733652,0.12039289732345522,43.73412629422948
215,32.96956845732641,0.2683049825637922,48.285570257483016,0.4759436603909863,28.119645948012142,0.2465366739656807,29.336453068562975,0.24121013113671558,14.191635243334492,0.12721553771537947,43.71652205963919
225,32.98109192964117,0.26887705983171384,48.149040366980444,0.4606487485239466,29.530423110121458,0.26809144588275496,30.400566360347476,0.2570934483272592,14.146462986093193,0.13310655579097538,43.73774032178793
235,32.98318136608512,0.2690026600269264,48.27713915830172,0.4490966238129491,30.645376353155843,0.2775088173642101,31.266144245435953,0.2696851792110536,13.9503373251007,0.13551301910038469,43.754025293135925
245,32.968582654561224,0.2695067542978935,48.10297956398226,0.46863851093176256,31.581596227228466,0.2871479201763205,32.22167264121257,0.276477848041944,13.710427769650833,0.13587813113401662,43.719788343831645
255,32.95823989422733,0.26883036164527707,48.128455177025124,0.4608590803587909,32.835214494880454,0.30038300087637976,33.082451675482574,0.29565184788145293,13.354835686193546,0.1336581539722111,43.73212090818124
265,32.9334142844495,0.2684839721063844,48.144172686785645,0.4646138470415712,33.72313184634302,0.30947607016093376,33.99020830801398,0.304100906954046,13.125167275084108,0.13158648804950906,43.71949313013087
275,32.95971980009019,0.26956267327596006,48.30140549577604,0.46924104448087234,34.62981284955296,0.31715483140516143,34.728815023480635,0.3029484169888632,13.01216453902819,0.1264362421018298,43.7342668104954
285,32.947358380315805,0.2700367259355484,48.41647658037968,0.46659074021642016,35.56847760626499,0.32336680386623784,35.20983132388289,0.31735644387284156,13.017516006505945,0.12099993880699071,43.73043403241359
295,32.94543706857815,0.26917945917311314,48.5937734123391,0.475424581195922,36.65174089620239,0.3407339042849302,36.05492301162664,0.3004754006600033,13.012761417316138,0.11668876329391775,43.731004217842866
